task_id	group	name	alpha	tau_mode	seed	n_train	n_calib	n_eval	hadamard	n_trials	command
1	smoke	smoke_small_data	0.05	global	42	300	300	300	1	5	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 5 --seed 42 --n_train 300 --n_calib 300 --n_eval 300 --hadamard_preprocess
2	main_alpha_sweep	full_data_alpha_0.01	0.01	global	42	1270	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.01 --tau_mode global --n_trials 50 --seed 42 --n_train 1270 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
3	main_alpha_sweep	full_data_alpha_0.03	0.03	global	42	1270	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.03 --tau_mode global --n_trials 50 --seed 42 --n_train 1270 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
4	main_alpha_sweep	full_data_alpha_0.05	0.05	global	42	1270	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 42 --n_train 1270 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
5	main_alpha_sweep	full_data_alpha_0.10	0.10	global	42	1270	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.10 --tau_mode global --n_trials 50 --seed 42 --n_train 1270 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
6	seed_robustness	alpha_0.05_seed_42	0.05	global	42	1270	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 42 --n_train 1270 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
7	seed_robustness	alpha_0.05_seed_43	0.05	global	43	1270	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 43 --n_train 1270 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
8	seed_robustness	alpha_0.05_seed_44	0.05	global	44	1270	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 44 --n_train 1270 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
9	seed_robustness	alpha_0.05_seed_45	0.05	global	45	1270	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 45 --n_train 1270 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
10	seed_robustness	alpha_0.05_seed_46	0.05	global	46	1270	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 46 --n_train 1270 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
11	train_size_ablation	n_train_100_seed_42	0.05	global	42	100	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 42 --n_train 100 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
12	train_size_ablation	n_train_100_seed_43	0.05	global	43	100	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 43 --n_train 100 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
